SiteKey,Year,MonthNum,kWp,lat,Lon,air_temperature_mean_c,apparent_temperature_mean_c,dew_point_mean_c,relative_humidity_mean_pct,month_sin,month_cos,actual_monthly_generation_kwh
26,2020,7,-3895.469,0.0,0.0,-560.5962,-2.7168987,-105.08737,-594.0903,-50.196205,-1790.082,1471.096435546875
27,2020,7,23241.695,0.0,0.0,-218.09825,110.3554,-735.9739,-1236.2427,-322.17508,-7805.187,21453.0
31,2020,7,-1304.7692,0.0,0.0,-688.8443,7.4699407,-87.35326,-785.62646,-71.26892,-2259.2356,3418.0419921875
32,2020,7,-4214.7,0.0,0.0,-516.5745,10.731725,-105.179855,-584.4873,-50.98582,-1730.3309,1329.06396484375
33,2020,7,-639.3405,0.0,0.0,-765.91376,-27.207943,-108.06787,-839.89014,-89.27597,-2349.9058,3858.646240234375
34,2020,7,-4930.4395,0.0,0.0,-343.3035,-20.098766,-105.74206,-516.4403,-55.91005,-1574.0371,927.85595703125
35,2020,7,-4538.1504,0.0,0.0,-395.03522,-11.176819,-106.25877,-531.30005,-11.100516,-1606.6085,1135.0849609375
36,2020,7,-3251.8762,0.0,0.0,-652.54553,-1.4441395,-99.7645,-647.3206,-48.733425,-1857.6223,1801.7872314453125
37,2020,7,-3222.4614,0.0,0.0,-652.025,-0.6242112,-97.18393,-648.1803,-48.909164,-1863.2983,1929.450439453125
38,2020,7,-2814.7893,0.0,0.0,-701.22235,-2.156861,-88.1501,-667.7001,-50.823837,-1901.0883,2143.0069580078125
40,2020,7,-1586.051,0.0,0.0,-713.72723,12.016347,-96.32979,-791.8778,-72.45157,-2302.904,2820.242431640625
14,2020,8,-2741.983,0.0,0.0,-278.63168,-22.782267,46.75738,-292.38632,156.08826,-1074.2169,4794.4208984375
15,2020,8,-525.8262,0.0,0.0,-268.40344,-32.93185,94.87504,-234.74353,223.8673,-1270.955,6178.8095703125
17,2020,8,-4324.2563,0.0,0.0,-181.16823,-0.9431034,89.631485,-233.65247,126.518745,-1021.3244,3263.94140625
18,2020,8,6109.423,0.0,0.0,-689.404,-72.51499,160.23895,-235.39726,415.34866,-1409.3856,13073.837890625
19,2020,8,8156.092,0.0,0.0,-161.7683,108.654625,236.64046,-467.91064,249.49461,-2103.6665,15136.8515625
20,2020,8,-1394.763,0.0,0.0,-179.019,16.489153,84.27439,-214.01357,197.68378,-1105.8865,6008.80224609375
21,2020,8,-4745.629,0.0,0.0,-123.72815,13.187283,92.90162,-200.32552,128.10675,-961.694,2648.65234375
22,2020,8,-2377.6062,0.0,0.0,-222.8785,9.870172,50.454483,-288.35425,182.12535,-1100.1934,4786.3212890625
23,2020,8,-3841.3613,0.0,0.0,-383.4129,-70.35213,12.802965,-344.9628,122.53504,-1050.3788,1599.7028121948242
24,2020,8,-506.41083,0.0,0.0,-223.51143,3.1023192,68.156654,-250.83447,133.32893,-1003.0051,6878.962890625
25,2020,8,23331.127,0.0,0.0,-326.43823,137.8568,570.31226,-660.97253,428.79614,-2676.3433,29360.314453125
26,2020,8,-4710.683,0.0,0.0,-127.06095,14.255606,90.90026,-186.15561,128.02261,-962.34814,2749.043212890625
27,2020,8,27601.582,0.0,0.0,1208.7971,239.30966,867.31476,-333.31204,851.76276,-4376.565,34258.15625
30,2020,8,-4997.654,0.0,0.0,-227.23528,-9.175229,67.07442,-264.9681,119.43662,-1048.9994,1219.148678779602
31,2020,8,-1641.5494,0.0,0.0,-174.303,14.2566805,83.11399,-225.8805,195.45186,-1120.8152,5373.283203125
32,2020,8,-5061.4106,0.0,0.0,-91.151306,18.03767,98.24361,-184.66887,124.28409,-913.11487,2329.4365234375
33,2020,8,-783.4005,0.0,0.0,-212.30298,-3.6056156,113.67322,-231.65211,241.9806,-1167.2585,6645.6201171875
34,2020,8,-5977.38,0.0,0.0,37.915394,2.4722176,71.16207,-152.65482,163.95168,-882.9864,1605.2275390625
35,2020,8,-5515.7036,0.0,0.0,46.363483,-2.3311508,75.23955,-166.78261,211.22058,-913.8943,2101.91015625
36,2020,8,-4021.379,0.0,0.0,-211.81056,12.699759,100.186134,-219.66245,132.07773,-1013.65857,3480.7548828125
37,2020,8,-3985.4846,0.0,0.0,-211.337,13.519687,101.81808,-206.50768,132.66078,-1018.7536,3452.55810546875
38,2020,8,-3573.4844,0.0,0.0,-268.25613,11.9870405,99.50271,-235.87538,136.85794,-1034.0669,4071.10009765625
39,2020,8,-5613.7783,0.0,0.0,-265.48694,-13.811808,49.733124,-265.41162,104.0441,-1036.4916,713.7001042366028
40,2020,8,-1892.5985,0.0,0.0,-180.4018,19.509563,75.268326,-229.17885,197.03934,-1159.1997,5198.3388671875
14,2020,9,-2795.2935,0.0,0.0,173.8836,21.01561,-141.48224,107.051445,87.46005,457.22546,6279.662109375
15,2020,9,-587.0686,0.0,0.0,104.772804,33.561966,-182.3565,29.461935,98.53078,370.71918,7958.8779296875
17,2020,9,-4867.037,0.0,0.0,117.697525,3.4054275,-149.8504,65.788086,69.859764,448.31873,4223.51904296875
18,2020,9,7402.9634,0.0,0.0,301.216,40.287056,-312.73413,96.34451,123.95128,849.10834,16931.49609375
19,2020,9,9789.7,0.0,0.0,399.43964,-8.611506,-321.40945,451.86832,-162.33037,1202.6481,19243.431640625
20,2020,9,-1620.2496,0.0,0.0,151.28629,4.344073,-149.64261,96.01179,100.48198,518.9035,7715.4794921875
21,2020,9,-5469.227,0.0,0.0,103.192444,2.3849697,-156.72017,44.536552,67.66558,470.19522,3577.91552734375
22,2020,9,-2498.3083,0.0,0.0,152.99951,3.7251673,-141.11203,94.9639,93.24027,480.27203,6470.6845703125
23,2020,9,-3824.7725,0.0,0.0,154.59843,21.02982,-136.78447,90.82119,74.453384,458.07175,5339.65380859375
24,2020,9,-669.1882,0.0,0.0,209.44872,2.826701,-158.0493,118.91591,75.79211,595.06024,8482.642578125
25,2020,9,27026.924,0.0,0.0,-722.78503,-21.238306,-649.80853,141.15744,291.16428,2321.2905,37059.45703125
26,2020,9,-5461.5146,0.0,0.0,100.1041,1.2393627,-155.63239,33.99539,67.23144,468.18265,3452.27880859375
27,2020,9,29845.785,0.0,0.0,-657.8642,163.98949,-990.2086,-554.68945,772.8072,2108.0188,38786.375
30,2020,9,-5443.9536,0.0,0.0,114.72982,5.222344,-152.18327,62.22306,63.417244,437.51663,3687.9769287109375
31,2020,9,-1895.6891,0.0,0.0,140.17317,2.2343345,-144.4008,66.391624,98.76799,505.20212,7073.4853515625
32,2020,9,-5985.9927,0.0,0.0,77.035194,-0.32505873,-158.64764,30.267143,63.247375,424.67838,3004.27587890625
33,2020,9,-939.7793,0.0,0.0,150.4376,28.177814,-157.23248,60.242092,110.92203,454.81116,8366.376953125
34,2020,9,-7056.463,0.0,0.0,108.11658,13.769195,-83.56506,27.582743,191.75787,273.70795,1978.083984375
35,2020,9,-6517.48,0.0,0.0,87.775764,11.066812,-81.328026,49.211777,272.71832,251.32808,2682.20703125
36,2020,9,-4547.2505,0.0,0.0,118.03471,1.8028116,-147.70116,62.98177,74.35141,476.41394,4579.82763671875
37,2020,9,-4523.172,0.0,0.0,117.265656,1.6395875,-145.08784,60.116283,73.53585,470.9438,4415.0380859375
38,2020,9,-3968.4016,0.0,0.0,144.9642,4.9108496,-143.81717,67.02276,80.242134,467.42828,5277.5859375
39,2020,9,-6016.281,0.0,0.0,116.29756,6.877112,-149.83028,59.5494,60.556183,439.53415,3018.6737060546875
40,2020,9,-2130.3325,0.0,0.0,134.81032,-2.0119467,-151.28476,75.76027,98.15852,468.4608,6789.2080078125
14,2020,10,-3172.805,0.0,0.0,323.16437,19.876476,140.30817,-197.33453,84.10363,1418.2432,7176.017578125
15,2020,10,-671.82715,0.0,0.0,295.88464,44.42464,134.91742,-342.16824,90.98543,1593.0685,9774.466796875
17,2020,10,-5312.841,0.0,0.0,247.65723,2.672273,121.874016,-162.00395,52.74751,1249.3737,4646.5419921875
18,2020,10,7265.939,0.0,0.0,534.56726,57.384224,126.30056,-548.5624,147.64693,2013.0304,17944.9609375
