MonthNum,mean,median,minimum,maximum,observations
1,143.40483934188748,119.04288179468807,60.90345052083333,755.3221518065268,26
2,130.46724383827515,107.4655799023769,57.20634765625,674.9927156177156,26
3,110.5253085590026,98.6583957261054,9.49331494057725,603.2461028554778,28
4,89.13881891072852,77.90802538155003,2.93117821415339,476.5065013111888,28
5,65.78905699962782,55.663661766219064,29.42003982956651,330.32306235431236,28
6,43.6696691483268,40.23295016133558,1.877573906233354,257.7724358974359,45
7,53.38270142505826,43.40035747052036,9.951822916666666,285.1394048659674,46
8,85.23559031246758,70.461393352704,14.94972987508594,441.05045345279717,49
9,119.68957552144724,96.47885304397063,57.283138020833334,629.6993371212121,49
10,136.43100822245106,109.41851238075196,63.3845703125,729.7111742424242,49
11,144.00631999639802,115.22079648704745,81.20142757318287,720.1879825903263,24
12,146.19861432979565,118.67686929223746,47.281168619791664,744.977190777972,25
