row_id,monthly_consumption_kwh,future_usage_growth_pct
0,-2.5348377514460583,-0.16052561578728372
1,-2.61225519439121,-0.0840683577734007
2,-2.68076216858916,-0.011550273680579258
3,-2.77199370293905,0.08246126471743205
4,-2.842761687007339,0.17275813826392822
5,-2.5348377514460583,-0.16052561578728372
6,-2.61225519439121,-0.0840683577734007
7,-2.68076216858916,-0.011550273680579258
8,-2.77199370293905,0.08246126471743205
9,-2.842761687007339,0.17275813826392822
10,-2.297514980280859,-0.19219492775708322
11,-2.37462763140012,-0.11543287791730987
12,-2.4061234715867483,-0.005903659813167267
13,-2.4870592091947588,0.0984036753267214
14,-2.5392572757322744,0.2072704664039934
15,-2.0457654080475733,-0.23006707618736233
16,-2.0875580436206485,-0.11798501080140826
17,-2.1213158610642915,-0.0107177699542762
18,-2.192175611038171,0.10366555281974571
19,-2.2201460084244604,0.2367600130482426
20,-1.7354434419105853,-0.24356579521025337
21,-1.7668129609448107,-0.12106061328544694
22,-1.7975149142610278,-0.010737508310887905
23,-1.8648885744436206,0.1071319042544222
24,-1.886384167465716,0.24670116884711832
25,-1.4377783822954686,-0.25824154765783597
26,-1.4672699153606783,-0.13385837976401285
27,-1.4892525856171357,-0.0148159917296931
28,-1.5348260236043767,0.12485364303096823
29,-1.5614862068471747,0.2592583174029611
30,-1.14214274435512,-0.2706313989738797
31,-1.1722208220082169,-0.1468347756679439
32,-1.1798172841503929,-0.013406179519343298
33,-1.218622350486157,0.13303182689279494
34,-1.2400052518990081,0.2727137830947358
35,-0.8189230331225886,-0.27542135968055326
36,-0.8524182527700529,-0.15504187836898123
37,-0.8583448380711625,-0.01994340537931726
38,-0.8833965334386049,0.1402479720011428
39,-0.9030255379425627,0.28168382511197704
40,-0.5123200118678418,-0.28288621648245926
41,-0.5462755429317739,-0.1629670465873549
42,-0.5428523057069774,-0.01851875107178483
43,-0.5677280327711153,0.1418485946119795
44,-0.5788615161613292,0.2917799688365574
45,-0.24697440293557618,-0.32352522619599
46,-0.24651821604685537,-0.16919433834823452
47,-0.2180619884163006,0.0002869475730945929
48,-0.24355141890398668,0.16004058983331118
49,-0.25576166175218856,0.30889520459990066
50,0.04265386217638023,-0.3217122007812151
51,0.04119344942500411,-0.16929791257355647
52,0.0710959900943933,0.0016296863866071957
53,0.048983036497481425,0.16475980553759845
54,0.03842467705555328,0.3152663037104609
55,0.6879312161957534,-0.33896303093704405
56,0.6806508939922352,-0.19236865218152563
57,0.7105534346616246,-0.021441053221361934
58,0.7170887818196897,0.17033736668460545
59,0.7324873587076063,0.3468008011873135
60,1.243129602290302,-0.38592954878888514
61,1.2764447435255906,-0.19873970659456458
62,1.3093940709171639,-0.024765320912214096
63,1.3488809680644773,0.19996464898300284
64,1.3774164018094348,0.3895649403427498
65,1.8437666020522439,-0.4243225943217848
66,1.9525492244426468,-0.1616652709723493
67,1.9609436135349274,-0.01224582358929019
68,2.002494044731925,0.21454768035560165
69,2.034724757424014,0.40784325066247473
70,2.419859450847863,-0.43389192606285204
71,2.494429096846173,-0.20544757910550512
72,2.577526002409561,0.01867438474865461
73,2.6050696588606086,0.2314611139476063
74,2.667572760240174,0.4550290729419578
75,3.6138450860681264,-0.4872860575323254
76,3.715347064399788,-0.2319093782416291
77,3.799926079263126,-0.006305305087520907
78,3.950984825038415,0.3299965134356744
79,3.9804399702944635,0.5205165163065157
80,5.386265948259015,-0.5489883506738487
81,5.516391180281338,-0.2649884176924906
82,5.483008327033182,-0.1573462126498827
83,5.787254846911487,0.33214337997631826
84,5.913757959891603,0.6197113505712197
