manufacturer,product_name,category,technology,wattage_wp,efficiency_percent,price_inr,price_per_watt,source_url
Adani Solar,Shine Series | MonoPERC,panel,"TOPCon, P-Type, DCR",560.0,21.22,,,https://www.adanisolar.com/product-monoperc-shine
Adani Solar,Shine TopCon Series,panel,"TOPCon, Bifacial, N-Type, DCR",640.0,22.3,,,https://www.adanisolar.com/product-topcon-shine-series
Loom Solar,"5 kWh Power Storage System for Commercials, Shops, Office, Showrooms",battery,,,,240000.0,,https://www.loomsolar.com/products/5-kva-solar-inverter-with-5-kwh-lithium-battery-for-home
Loom Solar,C&I ESS Product: 50-1000kWh (Customized),battery,,,,5000000.0,,https://www.loomsolar.com/products/c-i-ess-product
Loom Solar,"CAML 10.24 kWh (200Ah, 51.2V) LiFePO4 Battery - Wall Mount",battery,,,,230000.0,,https://www.loomsolar.com/products/caml-51-2-v-200-ah-10-24-kwh-lifepo4-battery-wall-mount
Loom Solar,"CAML 100 Ah, 204.8 V / 20kWh High-Voltage Lithium Battery",battery,,,,520000.0,,https://www.loomsolar.com/products/caml-100ah-51-2v-high-voltage-lithium-battery
Loom Solar,"CAML 12.8 V 100 Ah, 1.28 kWh LiFePO4 - Lithium Battery",battery,,,,34500.0,,https://www.loomsolar.com/products/caml-10012-low-voltage-lithium-battery
Loom Solar,CAML 125kW/261kWh All-in-One BESS for C&I Applications,battery,,,,6000000.0,,https://www.loomsolar.com/products/caml-125kw_261kwh-2h-liquid-cooled-battery-energy-storage-system
Loom Solar,"CAML 2.56 kWh (100Ah, 25.6V) LiFePO4 Wall-Mount - Lithium Battery",battery,,,,64375.0,,https://www.loomsolar.com/products/caml-10025-wall-mount-lv-lithium-battery
Loom Solar,"CAML 48 V 100 Ah, 5 kWh Lithium Battery - Rack Mount",battery,,,,99000.0,,https://www.loomsolar.com/products/100-ah-5000-watt-hour-lithium-battery-for-inverter
Loom Solar,CAML 5 MWh Liquid Cooled Containerized Battery Energy Storage System (BESS),battery,,,,,,https://www.loomsolar.com/products/caml-5-mwh-liquid-cooled-containerized-battery-energy-storage-system-bess
Loom Solar,"CAML 5.12 kWh (100Ah, 51.2V) LiFePO4 Battery - Wall Mount",battery,,,,115000.0,,https://www.loomsolar.com/products/100ah-5kwh-lifepo4-battery-for-home
Loom Solar,"CAML 50 Ah, 204.8 V / 10 kWh High-Voltage Stackable Lithium Battery",battery,,,,275000.0,,https://www.loomsolar.com/products/caml-50-ah-51-2-v-high-voltage-lithium-battery
Loom Solar,"CAML 51.2 V 100 Ah, 5.12 kWh Rack-Mount Lithium Battery",battery,,,,108000.0,,https://www.loomsolar.com/products/caml-51-2-v-100-ah-5-12-kwh-rack-mount-terminal-block-lithium-battery
Loom Solar,FUSION 3 kW Single Phase On-Grid Solar Inverter,inverter,,,,20000.0,,https://www.loomsolar.com/products/fusion-31fe-kw-on-grid-solar-inverter
Loom Solar,"Fusion 10 kW, 3 ø on grid solar inverter",inverter,,,,60000.0,,https://www.loomsolar.com/products/fusion-10-kw-on-grid-solar-inverter
Loom Solar,Fusion 10 kW/ 48 V Hybrid Solar inverter,inverter,,,,279000.0,,https://www.loomsolar.com/products/fusion-10-kva-48-volt-hybrid-solar-inverter
Loom Solar,Fusion 100 kw on grid solar inverter,inverter,,,,300000.0,,https://www.loomsolar.com/products/fusion-100-kw-on-grid-solar-inverter-three-phase
Loom Solar,"Fusion 15 kw, 3 Φ on grid solar inverter",inverter,,,,76000.0,,https://www.loomsolar.com/products/fusion-15-kw-on-grid-solar-inverter
